Date,Stored_Lagged_Log_Volume,Expected_Source_Date,Expected_Previous_Day_Log_Volume,Absolute_Difference
2021-01-01,,2020-12-31,,
2021-01-02,23.337152187211448,2021-01-01,23.337152187284698,7.324985062950873e-11
2021-01-03,23.7059519370073,2021-01-02,23.705951937057957,5.065814434601634e-11
2021-01-04,24.534373175236475,2021-01-03,24.534373175258597,2.212274807789072e-11
2021-01-05,24.76536903731401,2021-01-04,24.76536903733157,1.7561063714310876e-11
2021-01-06,24.44982473969564,2021-01-05,24.449824739719716,2.4076740601230995e-11
2021-01-07,24.523237418832547,2021-01-06,24.52323741885492,2.2371438035406754e-11
2021-01-08,24.423778049402703,2021-01-07,24.42377804942742,2.4716229063415085e-11
2021-01-09,24.51503636012825,2021-01-08,24.5150363601508,2.254907371934678e-11
2021-01-10,24.22681236547332,2021-01-09,24.22681236550341,3.008793214576144e-11
2021-01-11,24.427451009976764,2021-01-10,24.427451010001384,2.462030579408747e-11
2021-01-12,24.829763422773873,2021-01-11,24.82976342279034,1.6466827901240322e-11
2021-01-13,24.347462804680276,2021-01-12,24.34746280470695,2.667377430043416e-11
2021-01-14,24.128116297815577,2021-01-13,24.12811629784879,3.321432018310588e-11
2021-01-15,24.23214850775522,2021-01-14,24.23214850778515,2.993161274389422e-11
2021-01-16,24.30600778779248,2021-01-15,24.306007787820278,2.779643182293512e-11
2021-01-17,24.19892856032913,2021-01-16,24.19892856036007,3.094058342867356e-11
2021-01-18,24.099419999211975,2021-01-17,24.099419999246155,3.418065830373962e-11
2021-01-19,23.97431667219529,2021-01-18,23.97431667223402,3.873168452628306e-11
2021-01-20,24.577573606973548,2021-01-19,24.577573606994736,2.1188384380366188e-11
2021-01-21,24.568807761748097,2021-01-20,24.56880776176947,2.1373125491663814e-11
2021-01-22,24.55043799711449,2021-01-21,24.550437997136257,2.176747671001067e-11
2021-01-23,24.505597803423004,2021-01-22,24.505597803445777,2.277289468111121e-11
2021-01-24,24.02846229980231,2021-01-23,24.028462299839,3.668887416097277e-11
2021-01-25,24.3183334858669,2021-01-24,24.31833348589436,2.7458924023449072e-11
2021-01-26,24.49753776498953,2021-01-25,24.497537765012485,2.2954083078730037e-11
2021-01-27,24.45071477658594,2021-01-26,24.450714776609995,2.4055424319158192e-11
2021-01-28,24.396889942448375,2021-01-27,24.39688994247376,2.538413923502958e-11
2021-01-29,24.268195090346904,2021-01-28,24.268195090375773,2.886935135393287e-11
2021-01-30,24.705037926029,2021-01-29,24.705037926047652,1.865174681370263e-11
2021-01-31,24.14480734090385,2021-01-30,24.144807340936513,3.2663649562891806e-11
2021-02-01,23.950064337611497,2021-01-31,23.950064337651185,3.9687364505880396e-11
2021-02-02,24.09779992192857,2021-02-01,24.0977999219628,3.4230396295242826e-11
2021-02-03,24.539595730883253,2021-02-02,24.53959573090526,2.2005508526490303e-11
2021-02-04,24.45794447238729,2021-02-03,24.457944472411167,2.3877788635218167e-11
2021-02-05,24.516434849758436,2021-02-04,24.51643484978096,2.2524204723595176e-11
2021-02-06,24.414857321528913,2021-02-05,24.414857321553846,2.4932944597821916e-11
