Date,DXY,DXY_Return,Lagged_DXY_Return
2021-01-01,89.937,,
2021-01-04,89.869,-0.0007563707912069328,
2021-01-05,89.436,-0.004829768737107486,-0.0007563707912069328
2021-01-06,89.53,0.0010504789585075627,-0.004829768737107486
2021-01-07,89.826,0.0033007010496898265,0.0010504789585075627
2021-01-08,90.098,0.0030235011138996463,0.0033007010496898265
2021-01-11,90.465,0.004065068761405649,0.0030235011138996463
2021-01-12,90.093,-0.00412056542884493,0.004065068761405649
2021-01-13,90.355,0.002903885707912433,-0.00412056542884493
2021-01-14,90.239,-0.0012846497220631464,0.002903885707912433
2021-01-15,90.772,0.005889161879311908,-0.0012846497220631464
2021-01-18,90.765,-7.711926498149255e-05,0.005889161879311908
2021-01-19,90.498,-0.0029459977282241504,-7.711926498149255e-05
2021-01-20,90.475,-0.0002541815643642627,-0.0029459977282241504
2021-01-21,90.131,-0.003809401858160279,-0.0002541815643642627
2021-01-22,90.238,0.001186456791930074,-0.003809401858160279
2021-01-25,90.391,0.0016940805362521644,0.001186456791930074
2021-01-26,90.17,-0.0024479274080125295,0.0016940805362521644
2021-01-27,90.647,0.0052760648226071296,-0.0024479274080125295
2021-01-28,90.455,-0.00212035286119804,0.0052760648226071296
2021-01-29,90.584,0.001425107538513993,-0.00212035286119804
2021-02-01,90.98,0.004362105130119549,0.001425107538513993
2021-02-02,91.197,0.002382299660541891,0.004362105130119549
2021-02-03,91.171,-0.0002851377453956641,0.002382299660541891
2021-02-04,91.529,0.003918997900344249,-0.0002851377453956641
2021-02-05,91.042,-0.00533492345507514,0.003918997900344249
2021-02-08,90.934,-0.0011869698496513555,-0.00533492345507514
2021-02-09,90.439,-0.0054583783583834035,-0.0011869698496513555
2021-02-10,90.371,-0.0007521708224763178,-0.0054583783583834035
2021-02-11,90.417,0.0005088833439464812,-0.0007521708224763178
2021-02-12,90.48,0.0006965289921564471,0.0005088833439464812
2021-02-15,90.48,0.0,0.0006965289921564471
2021-02-16,90.509,0.0003204614672513889,0.0
2021-02-17,90.951,0.004871606680796089,0.0003204614672513889
2021-02-18,90.592,-0.0039549910264234395,0.004871606680796089
2021-02-19,90.364,-0.002519950934513165,-0.0039549910264234395
2021-02-22,90.01,-0.00392518272598195,-0.002519950934513165
2021-02-23,90.169,0.001764912018299566,-0.00392518272598195
2021-02-24,90.176,7.762898892147117e-05,0.001764912018299566
2021-02-25,90.134,-0.000465864353165144,7.762898892147117e-05
2021-02-26,90.879,0.00823149946812543,-0.000465864353165144
