Date,VIX,VIX_Change,Lagged_VIX_Change
2021-01-04,26.97,,
2021-01-05,25.34,-1.629999999999999,
2021-01-06,25.07,-0.2699999999999996,-1.629999999999999
2021-01-07,22.37,-2.6999999999999993,-0.2699999999999996
2021-01-08,21.56,-0.8100000000000023,-2.6999999999999993
2021-01-11,24.08,2.5199999999999996,-0.8100000000000023
2021-01-12,23.33,-0.75,2.5199999999999996
2021-01-13,22.21,-1.1199999999999974,-0.75
2021-01-14,23.25,1.0399999999999991,-1.1199999999999974
2021-01-15,24.34,1.0899999999999999,1.0399999999999991
2021-01-19,23.24,-1.1000000000000014,1.0899999999999999
2021-01-20,21.58,-1.6600000000000001,-1.1000000000000014
2021-01-21,21.32,-0.259999999999998,-1.6600000000000001
2021-01-22,21.91,0.5899999999999999,-0.259999999999998
2021-01-25,23.19,1.2800000000000011,0.5899999999999999
2021-01-26,23.02,-0.1700000000000017,1.2800000000000011
2021-01-27,37.21,14.190000000000001,-0.1700000000000017
2021-01-28,30.21,-7.0,14.190000000000001
2021-01-29,33.09,2.8800000000000026,-7.0
2021-02-01,30.24,-2.850000000000005,2.8800000000000026
2021-02-02,25.56,-4.68,-2.850000000000005
2021-02-03,22.91,-2.6499999999999986,-4.68
2021-02-04,21.77,-1.1400000000000006,-2.6499999999999986
2021-02-05,20.87,-0.8999999999999986,-1.1400000000000006
2021-02-08,21.24,0.36999999999999744,-0.8999999999999986
2021-02-09,21.63,0.39000000000000057,0.36999999999999744
2021-02-10,21.99,0.35999999999999943,0.39000000000000057
2021-02-11,21.25,-0.7399999999999984,0.35999999999999943
2021-02-12,19.97,-1.2800000000000011,-0.7399999999999984
2021-02-16,21.46,1.490000000000002,-1.2800000000000011
2021-02-17,21.5,0.03999999999999915,1.490000000000002
2021-02-18,22.49,0.9899999999999984,0.03999999999999915
2021-02-19,22.05,-0.4399999999999977,0.9899999999999984
2021-02-22,23.45,1.3999999999999986,-0.4399999999999977
2021-02-23,23.11,-0.33999999999999986,1.3999999999999986
2021-02-24,21.34,-1.7699999999999996,-0.33999999999999986
2021-02-25,28.89,7.550000000000001,-1.7699999999999996
2021-02-26,27.95,-0.9400000000000013,7.550000000000001
2021-03-01,23.35,-4.599999999999998,-0.9400000000000013
2021-03-02,24.1,0.75,-4.599999999999998
2021-03-03,26.67,2.5700000000000003,0.75
2021-03-04,28.57,1.8999999999999986,2.5700000000000003
2021-03-05,24.66,-3.91,1.8999999999999986
2021-03-08,25.47,0.8099999999999987,-3.91
2021-03-09,24.03,-1.4399999999999977,0.8099999999999987
2021-03-10,22.56,-1.4700000000000024,-1.4399999999999977
2021-03-11,21.91,-0.6499999999999986,-1.4700000000000024
2021-03-12,20.69,-1.2199999999999989,-0.6499999999999986
2021-03-15,20.03,-0.6600000000000001,-1.2199999999999989
2021-03-16,19.79,-0.240000000000002,-0.6600000000000001
2021-03-17,19.23,-0.5599999999999987,-0.240000000000002
2021-03-18,21.58,2.349999999999998,-0.5599999999999987
2021-03-19,20.95,-0.629999999999999,2.349999999999998
2021-03-22,18.88,-2.0700000000000003,-0.629999999999999
2021-03-23,20.3,1.4200000000000017,-2.0700000000000003
2021-03-24,21.2,0.8999999999999986,1.4200000000000017
2021-03-25,19.81,-1.3900000000000006,0.8999999999999986
2021-03-26,18.86,-0.9499999999999993,-1.3900000000000006
2021-03-29,20.74,1.879999999999999,-0.9499999999999993
2021-03-30,19.61,-1.129999999999999,1.879999999999999
2021-03-31,19.4,-0.21000000000000085,-1.129999999999999
2021-04-01,17.33,-2.0700000000000003,-0.21000000000000085
2021-04-05,17.91,0.5800000000000018,-2.0700000000000003
2021-04-06,18.12,0.21000000000000085,0.5800000000000018
2021-04-07,17.16,-0.9600000000000009,0.21000000000000085
2021-04-08,16.95,-0.21000000000000085,-0.9600000000000009
2021-04-09,16.69,-0.259999999999998,-0.21000000000000085
2021-04-12,16.91,0.21999999999999886,-0.259999999999998
2021-04-13,16.65,-0.26000000000000156,0.21999999999999886
2021-04-14,16.99,0.33999999999999986,-0.26000000000000156
2021-04-15,16.57,-0.41999999999999815,0.33999999999999986
2021-04-16,16.25,-0.3200000000000003,-0.41999999999999815
2021-04-19,17.29,1.0399999999999991,-0.3200000000000003
2021-04-20,18.68,1.3900000000000006,1.0399999999999991
2021-04-21,17.5,-1.1799999999999997,1.3900000000000006
2021-04-22,18.71,1.2100000000000009,-1.1799999999999997
2021-04-23,17.33,-1.3800000000000026,1.2100000000000009
2021-04-26,17.64,0.3100000000000023,-1.3800000000000026
2021-04-27,17.56,-0.08000000000000185,0.3100000000000023
2021-04-28,17.28,-0.2799999999999976,-0.08000000000000185
2021-04-29,17.61,0.3299999999999983,-0.2799999999999976
